MPID|MP Type|Name|Location|Telephone|NASDAQ Member|FINRA Member|NASDAQ BX Member|PSX Participant
DAIN|M|RBC Capital Markets Corporation|MINNEAPOLIS, MN|612-373-6101|Y|Y|Y|Y
DAIN|M|RBC Capital Markets Corporation|MINNEAPOLIS, MN|800-959-5951|Y|Y|Y|Y
DAKH|P|DAKOY CAPITAL MARKETS LLC|||N|Y|N|N
DAKO|P|Dakota Securities International, Inc.|||N|Y|N|N
DALE|P|ANCORA SECURITIES, INC|||Y|Y|N|N
DALM|P|Dalmore Group LLC|||N|Y|N|N
DANN|P|Kevin Dann & Partners, LLC|||N|N|N|N
DAPJ|P|Direct Access Partners Llc|||N|Y|N|N
DAPL|P|Direct Access Partners LLC|||N|Y|N|N
DARA|N|Darwood Associates Incorporated|||N|Y|N|N
DART|M|DART EXECUTIONS, LLC|||Y|Y|Y|Y
DASH|P|Electronic Brokerage Systems, LLC|||Y|Y|Y|N
DAVA|M|Davenport & Company LLC|RICHMOND, VA|804-780-2073|Y|Y|N|N
DAVA|M|Davenport & Company LLC||800-277-0120|Y|Y|N|N
DAVE|N|DIAMANT INVESTMENT CORPORATION|NASDAQ TRADING|203-661-6410|N|Y|N|N
DAVI|M|SHELBY CULLOM DAVIS & CO., L.P.|NEW YORK, NY|212-207-3514|N|Y|N|N
DAVS|P|Davis Securities LLC|||N|Y|N|N
DAVW|P|SEIDEL & SHAW LLC|||N|Y|N|N
DAWA|M|Daiwa Capital Markets America Inc.|NEW YORK, NY|212-612-6640|Y|Y|Y|N
DAWA|M|Daiwa Capital Markets America Inc.|NEW YORK, NY|212-612-6641|Y|Y|Y|N
DBAB|M|Deutsche Bank Securities Inc.|NASDAQ TRADING|800-221-5330|Y|Y|Y|Y
DBAB|M|Deutsche Bank Securities Inc.|NEW YORK, NY|212-250-5500|Y|Y|Y|Y
DBAB|M|Deutsche Bank Securities Inc.|AGENCY TRADING|212-250-3000|Y|Y|Y|Y
DBAB|M|Deutsche Bank Securities Inc.|AGENCY|212-469-7440|Y|Y|Y|Y
DBAB|M|Deutsche Bank Securities Inc.|INTERNATIONAL|212-474-7472|Y|Y|Y|Y
DBAB|M|Deutsche Bank Securities Inc.|INTERNATIONAL|800-221-0406|Y|Y|Y|Y
DBAB|M|Deutsche Bank Securities Inc.|AGENCY|212-541-8670|Y|Y|Y|Y
DBAB|M|Deutsche Bank Securities Inc.|P&S DEPT|212-474-8340|Y|Y|Y|Y
DBAX|P|Deutsche Bank Securities Inc.|||Y|Y|Y|Y
DBFL|P|DEUTSCHE BANK SECURITIES INC|||Y|Y|Y|Y
DBKS|P|Deutsche Bank Securities Inc.|||Y|Y|Y|Y
DBPC|O|Deutsche Bank Securities Inc.|||Y|Y|Y|Y
DBUL|P|Deutsche Bank Securities Inc.|||Y|Y|Y|Y
DCAF|P|Dundee Securities Inc.|TORONTO, ONTARIO|416-350-3410|N|Y|N|N
DCHF|P|Dart Executions, LLC|||Y|Y|Y|Y
DCRN|P|DISCERN SECURITIES, INC.|||N|Y|N|N
DCSD|O|RBC Capital Markets Corporation|ST. LOUIS|866-800-5213|Y|Y|Y|Y
DCUS|P|DUBEAU CAPITAL USA, INC.|||N|Y|N|N
DCVL|P|Dart Executions, LLC|||Y|Y|Y|Y
DDBI|N|Downstate Discount Brokerage, Inc.|BELLEAIR BLUFFS  FL|813-586-3541|N|N|N|N
DEAN|P|MORGAN STANLEY|||Y|Y|N|N
DECK|P|DECKER & CO, LLC|||N|Y|N|N
DEGS|P|Dart Executions, Llc|||Y|Y|Y|Y
DELA|P|Delafield Hambrecht, Inc.|TRADING DESK|206-254-4150|N|N|N|N
DELT|P|DELTEC ASSET MANAGEMENT LLC|||N|N|N|N
DEMA|O|Dematteo Monness LLC|NEW YORK, NY|212-610-2606|Y|Y|N|N
DEMP|M|E*Trade Capital Markets, LLC|(MWSE)|312-663-2634|Y|Y|Y|N
DEMP|M|E*Trade Capital Markets, LLC|(MWSE)|800-999-0027|Y|Y|Y|N
DEMP|M|E*Trade Capital Markets, LLC|CHICAGO  IL|312-663-2709|Y|Y|Y|N
DEMP|M|E*Trade Capital Markets, LLC|CHICAGO  IL|800-999-0240|Y|Y|Y|N
DENI|P|H. C. Denison Co.|SHEBOYGAN, WI|920-457-9451|N|Y|N|N
DESJ|N|Desjardins Securities Inc. / CDS||514-281-7294|N|N|N|N
DESS|P|Descap Securities, Inc.|||N|N|N|N
DETF|P|DART EXECUTIONS, LLC|||Y|Y|Y|Y
DFFI|P|Premieretrade Securities, Inc.|||N|N|N|N
DFIN|P|ELECTRONIC BROKERAGE SYSTEMS, LLC|||Y|Y|Y|N
DFLR|S|E*Trade Capital Markets - Execution Services LLC/OTC  UTP|||N|N|N|N
DHCO|N|DAVID HARRIS & CO., INC.|||N|Y|N|N
DHLN|P|EQUINOX GROUP DISTRIBUTORS, LLC|||N|Y|N|N
DIDI|P|DWS INVESTMENTS DISTRIBUTORS, INC|||N|Y|N|N
DILL|P|Dillon Scott Securities, Inc.|||N|N|N|N
DIMS|P|DIMENSION SECURITIES, LLC|||N|N|N|N
DINO|P|DINOSAUR FINANCIAL GROUP, L.L.C|||Y|Y|N|N
DIVA|P|Divine Capital Markets LLC|TRADING|877-428-5867|N|Y|N|N
DIVA|P|Divine Capital Markets LLC|NEW YORK|212-344-4533|N|Y|N|N
DIVP|M|DIVERSIFIED SECURITIES, INCORPORATED|LONG BEACH, CA|562-595-7711|N|Y|N|N
DJRC|P|Partners Investment Network, Inc.|||N|Y|N|N
DJSA|P|Dawson James Securities, Inc|||Y|Y|N|N
DJSE|P|Dawson James Securities, Inc.|||Y|Y|N|N
DJSI|P|Dawson James Securities, Inc|||Y|Y|N|N
DKEI|N|Dale K. Ehrhart, Inc.|||N|N|N|N
DKNY|N|Dalton Kent Securities Group, Inc.|||N|N|N|N
DLAE|P|David Lerner Associates, Inc.|SYOSSET, NY|516-921-4200|N|Y|N|N
DLJD|P|Harrisdirect LLC|||N|N|N|N
DLNY|M|DELANEY EQUITY GROUP LLC|||Y|Y|N|N
DLSC|M|Dls Capital Partners, Inc.|DALLAS, TX|800-350-2664|N|Y|N|N
DLSC|M|Dls Capital Partners, Inc.||214-346-9590|N|Y|N|N
DLTA|P|DEALERWEB INC.|||N|Y|N|N
DLWB|P|Hilliard Farber & Co., Inc.|||N|N|N|N
DMKC|N|D.M. KELLY & COMPANY|NASDAQ TRADING|515-221-1133|N|Y|N|N
DMKF|P|Dominick & Dominick LLC|||N|Y|N|N
DMKT|P|OTC LINK LLC|||N|Y|N|N
DNOR|P|DNB MARKETS, INC.|||N|Y|N|N
DNSR|P|DINOSAUR FINANCIAL GROUP, L.L.C|||Y|Y|N|N
DNYA|P|DUNIYA TRADING, INC.|||N|N|N|N
DOFT|N|Doft & Co., Inc.|NEW YORK, NY|212-421-5550|N|Y|N|N
DOLE|P|Doley Securities, LLC.|||N|N|N|N
DOMK|M|Dominick & Dominick LLC|NEW YORK, NY|212-558-8828|N|Y|N|N
DOMS|M|Domestic Securities, Inc.|EDISON, NJ - OTC|732-661-0300|N|N|N|N
DOMS|M|Domestic Securities, Inc.|MONTVALE, NJ HQ|201-782-0888|N|N|N|N
DOOR|P|P.A.N. SECURITIES, LP|||N|Y|N|N
DORN|N|DORN & CO., INC.|||N|Y|N|N
DORS|N|Dorsey & Company, Inc.|NEW ORLEANS, LA|504-524-5431|N|Y|N|N
DOTC|M|Dougherty & Company LLC|NASDAQ TRADING|612-338-1448|Y|Y|N|N
DOTC|M|Dougherty & Company LLC|NASDAQ TRADING|888-817-8664|Y|Y|N|N
DOWD|O|Walter J. Dowd, Inc|||N|N|N|N
DOWL|P|Dowling & Partners Securities LLC|HARTFORD  CT|860-676-8605|Y|Y|N|N
DOYL|N|Doyle, Miles & Co., LLC||212-709-7981|N|N|N|N
DPAA|N|Douglas John Palmieri|NEW YORK, NY|212-410-7324|N|Y|N|N
DPFH|M|Donnelly Penman & Partners Inc.|TRADING|800-217-7411|N|Y|N|N
DPFH|M|Donnelly Penman & Partners Inc.|COLUMBUS, OH|614-486-7540|N|Y|N|N
DRAS|P|Waterstone Financial Group, Inc.||630-250-7000|N|N|N|N
DRAT|N|The Dratel Group, Inc.|NEW YORK  NY|212-964-2300|N|N|N|N
DRCO|P|COWEN SECURITIES LLC|NEW YORK|212 920 2949|N|N|N|N
DRCP|P|Dahlman Rose & Company, LLC|||N|N|N|N
DREX|P|Drexel Hamilton, LLC|||N|Y|N|N
DRIE|O|Driehaus Securities LLC|CHICAGO  IL|312-587-3830|N|Y|N|N
DRIE|O|Driehaus Securities LLC|TRADING ROOM|1-800-990-1890|N|Y|N|N
DRKW|P|Commerz Markets LLC|NEW YORK, NY|(212) 895-1995|Y|Y|N|N
DRMI|P|Davis, Mendel & Regenstein, Inc.|||N|N|N|N
DRST|P|DRU STOCK, INC.|||N|Y|N|N
DRTG|P|Dart Executions, LLC|||Y|Y|Y|Y
DRTL|P|DART EXECUTIONS, LLC|||Y|Y|Y|Y
DRTM|P|Dart Executions, LLC|||Y|Y|Y|Y
DRTR|P|Dart Executions, LLC|||Y|Y|Y|Y
DRVW|P|DRIVEWEALTH, LLC|Main Line|800-461-2680|N|Y|N|N
DRWC|P|DRW SECURITIES, L.L.C.|||Y|N|Y|Y
DRWJ|P|DRW SECURITIES, L.L.C.|||Y|N|Y|Y
DRWS|M|DRW Securities, L.L.C.|||Y|N|Y|Y
DSIP|P|Domestic Securities, Inc.|||N|N|N|N
DSSI|P|M. E. ALLISON & CO., INC.|||N|Y|N|N
DSTC|P|DST MARKET SERVICES, LLC|||N|Y|N|N
DSTR|P|DESTRA CAPITAL INVESTMENTS LLC|||N|Y|N|N
DTII|P|Delta Trust Investments, Inc.|||N|Y|N|N
DTTX|P|KCG AMERICAS LLC||972-865-0400|Y|Y|Y|Y
DULL|N|George E. Dullnig & Co.|SAN ANTONIO  TX|210-225-6806|N|N|N|N
DUNN|P|Dunmore Trading LLC|||N|N|N|N
DVNE|N|Marco Polo Securities Inc.|||N|Y|N|N
DWCC|P|DERMOTT W. CLANCY CORP.|||N|Y|N|N
DYSO|P|Jump Trading|||Y|N|Y|Y
EADA|M|Electronic Access Direct, Inc.|||N|N|N|N
EAMC|P|EMPIRE ASSET MANAGEMENT COMPANY|||N|Y|N|N
EAMG|P|EMPIRE ASSET MANAGEMENT COMPANY|||N|Y|N|N
EANJ|N|E&J SECURITIES CORP.|||N|Y|N|N
EASY|P|European American Securities, Inc.|||N|N|N|N
EBKD|P|BGC FINANCIAL INC.|||N|N|N|N
EBKR|P|BGC Financial Inc.|||Y|Y|N|N
EBRD|P|EARLYBIRDCAPITAL, INC.|NEW YORK, NY|212-792-8100|Y|Y|N|N
EBXL|O|EBX LLC|||N|Y|N|N
ECKH|P|EMPIRE EXECUTIONS, INC.|||N|Y|N|N
ECUT|O|CONVERGEX EXECUTION SOLUTIONS|NEW YORK, NY|212-468-7530|Y|Y|Y|Y
EDFC|P|E D & F MAN CAPITAL MARKETS INC.|||N|Y|N|N
EDFO|P|E D & F Man Capital Markets Inc.|||N|Y|N|N
EDGA|E|Direct Edge ECN LLC||201-942-8220|N|N|N|N
EDGE|P|Direct Edge Ecn Llc|||N|N|N|N
EDGX|E|Direct Edge ECN LLC|JERSEY CITY, NJ|201-942-8220|N|N|N|N
EDIF|P|EDI Financial, Inc.|||N|Y|N|N
EDJC|P|Edward Jones / CDS|||N|N|N|N
EDJO|M|Edward D. Jones & Co., L.P.|ST. LOUIS MO|314-515-3131|Y|Y|N|N
EDJO|M|Edward D. Jones & Co., L.P.|ST.LOUIS MO|800-288-4221|Y|Y|N|N
EDLR|P|E.J. DE LA ROSA & CO., INC.|||N|Y|N|N
EFGC|P|EFG Capital International|||N|Y|N|N
EFGI|M|Empire Financial Group, Inc.|LONGWOOD FL|407-774-1334|N|N|N|N
EFGI|M|Empire Financial Group, Inc.|LONGWOOD FL|800-579-8100|N|N|N|N
EFGI|M|Empire Financial Group, Inc.|NEW YORK, NY|212-355-4849|N|N|N|N
EFGI|M|Empire Financial Group, Inc.|NEW JERSEY|201-445-1007|N|N|N|N
EFGI|M|Empire Financial Group, Inc.|BOCA RATON, FL|561-544-0250|N|N|N|N
EFLS|P|EF LEGACY SECURITIES, LLC|||N|Y|N|N
EGAM|P|BATS TRADING, INC.|||Y|Y|Y|N
EGAW|P|BATS TRADING, INC.|||Y|Y|Y|N
EGRO|P|Emerging Growth Equities, Ltd.|KING OF PRUSSIA, PA|610-783-4796|N|Y|N|N
EGRO|P|Emerging Growth Equities, Ltd.|NASDAQ/OTCBBTRAD|877-782-8353|N|Y|N|N
EGSB|O|Electronic Global Securities, Inc.|NEW YORK, NY|212-286-1787|N|N|N|N
EGXM|P|BATS TRADING, INC.|||Y|Y|Y|N
EGXW|P|BATS TRADING, INC.|||Y|Y|Y|N
EHSC|P|E. H. Smith Jacobs & Co., Inc.|||N|Y|N|N
EISN|N|Eisner Securities, Inc.|||N|N|N|N
EKNS|M|EKN Financial Services Inc.|NASDAQ TRADING|516-396-1254|N|N|N|N
EKRI|P|EK Riley Investments, LLC|||N|Y|N|N
ELEV|P|ELEVATION, LLC|||Y|Y|N|N
ELIT|P|Community Bankers Securities, LLC|||N|N|N|N
ELPB|P|ELADIAN PARTNERS|||N|N|N|N
ELSH|N|Elish & Elish Brokerage And Research Co.|||N|Y|N|N
EMBA|P|PCS Securities, Inc.||858-457-5197|N|Y|N|N
EMCC|P|Knight Capital Americas LLC|||Y|Y|Y|Y
EMEI|P|Emerald Investments, Inc.|||N|N|N|N
EMII|P|Emerald Investments, Inc.|||N|N|N|N
EMPI|P|EMPIRE INVESTMENT INC.|||N|Y|N|N
EMPR|N|Empire Securities Incorporated of Washington|NASDAQ/OTCBB TRADING|800-541-5558|N|Y|N|N
EMPR|N|Empire Securities Incorporated of Washington|SPOKANE WA|509-623-1300|N|Y|N|N
EMPR|N|Empire Securities Incorporated of Washington|SPOKANE  WA|800-541-5960|N|Y|N|N
EMRG|P|EMERGING GROWTH EQUITIES, LTD.|||N|Y|N|N
ENCL|P|ENCLAVE CAPITAL LLC|||N|Y|N|N
ENOC|N|Edgar M. Norris & Co., Inc.|||N|N|N|N
EPLN|N|E-Planning.Com Securities Inc.|||N|N|N|N
EQCP|P|Equity Concepts, Inc.|||N|N|N|N
EQTO|O|Equity Trading Online, LLC|||N|N|N|N
EQTS|P|Equity Securities Investments, Inc.|||N|Y|N|N
EQTX|P|EQUATEX US INC|||N|Y|N|N
EQTY|O|Equity Trading Online, LLC|NEW YORK, NY|212-279-7800|N|N|N|N
EQUA|P|Equitas America, LLC|||N|N|N|N
ERCO|O|Essex Radez LLC|CHICAGO, IL|312-362-2916|Y|Y|Y|N
EROM|O|Eroom Securities L.L.C.|||N|Y|N|N
EROP|P|Eroom Securities L.L.C.|||N|Y|N|N
EROS|P|Eroom Securities LLC|||N|Y|N|N
ERPO|N|Europa Securities, Llc|NASDAQ TRADING|770-499-7770|N|N|N|N
ESNA|P|ESN NORTH AMERICA, INC.|||N|Y|N|N
ESPD|M|Cantor Fitzgerald & Co.|TRADING|800-214-7307|Y|Y|N|N
ESPO|M|ESPOSITO SECURITIES, LLC|||Y|Y|N|N
ETAA|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETAB|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETAE|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETAF|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETAI|P|QUANTLAB SECURITIES LP|||Y|Y|Y|Y
ETAJ|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETAK|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETAM|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETAO|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETBA|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETBE|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETBF|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETBH|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETBJ|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETBK|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETBM|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETBN|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETBR|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETBS|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETBT|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETBU|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETBW|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETBX|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETBZ|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETCB|P|ETC BROKERAGE SERVICES, LLC|||N|Y|N|N
ETCC|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETCG|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETCI|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETCJ|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETCL|M|E*Trade Clearing LLC|||Y|Y|N|N
ETCQ|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETCR|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETCX|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETDA|P|ELECTRONIC TRANSACTION CLEARING, INC|||Y|Y|Y|Y
ETDB|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETDC|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETDD|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETDF|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETDG|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETDI|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETDJ|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETDK|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETDL|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETDM|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETDN|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETDQ|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETDR|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETDX|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETDY|P|ELECTRONIC TRANSACTION CLEARING, INC.|||Y|Y|Y|Y
ETEC|P|Etech Securities, Inc.|||N|N|N|N
ETEK|P|Etech Securities, Inc.|||N|N|N|N
ETLD|P|Elliott-Ledgerwood & Company|||N|N|N|N
ETMM|M|G1 Execution Services, LLC|Trade Support|800-638-8602|Y|Y|Y|N
ETMM|M|G1 Execution Services, LLC|Trade Support|312-986-8882|Y|Y|Y|N
ETMM|M|G1 Execution Services, LLC|Bulletin Board|312-294-7824|Y|Y|Y|N
ETNF|P|Electronic Transaction Clearing, Inc.|||Y|Y|Y|Y
ETOS|P|Ethos Securities Corp.|||N|N|N|N
ETRF|M|G1 Execution Services, LLC.|CHICAGO, IL|312-294-7760|Y|Y|Y|N
ETRS|O|E*Trade Securities LLC|INSTITUTIONAL TRDING|212-826-6868|Y|Y|N|N
ETSB|P|Joseph Grace|||N|Y|N|N
ETTC|P|NORIBATRADE|||N|N|N|N
ETVN|P|EATON VANCE DISTRIBUTORS, INC.|||N|Y|N|N
EURP|M|Euro Pacific Capital, Inc.||949-863-9500|Y|Y|N|N
EVAL|P|Cambridge Discount Brokerage, Inc.|||N|N|N|N
EVER|P|everTrade Direct Brokerage, Inc.|||N|Y|N|N
EVRC|P|Evercore Group L.L.C.|||Y|Y|N|N
EVRS|P|E1 ASSET MANAGEMENT, INC.|||N|Y|N|N
EWGC|P|Ewing Capital, Inc.|||N|N|N|N
EWSC|N|East/West Securities Co.|NASDAQ TRADING|415-397-3400|N|N|N|N
EWTT|M|Virtu Financial Capital Markets LLC|||Y|Y|Y|Y
EWTV|P|Virtu Financial Capital Markets LLC|||Y|Y|Y|Y
EXAN|O|Exane, Inc.|NEW YORK, NY|212-634-5165|Y|Y|N|N
EXEC|P|ATLANTIC EQUITIES, LLC|GREENWICH, CT|203-622-8713|N|N|N|N
EXEX|P|ex24, Inc.|||N|N|N|N
EXTR|P|Exeter, Ltd.|||N|N|N|N
FABL|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FADA|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FAGI|M|Fagenson & Co., Inc.|NEW YORK|212-422-1993|N|N|N|N
FALC|P|MK Securities USA, LLC|||N|Y|N|N
FALK|N|Steven L. Falk & Associates Inc.|||N|N|N|N
FANA|M|First Analysis Securities Corporation|CHICAGO, IL|312-258-0261|Y|Y|N|N
FANA|M|First Analysis Securities Corporation|NASDAQ TRADING|888-900-3262|Y|Y|N|N
FANC|M|Finance 500, Inc.|NASDAQ TRADING|949-724-4880|N|Y|N|N
FANC|M|Finance 500, Inc.|BULLETIN BOARD|949-724-4880|N|Y|N|N
FANC|M|Finance 500, Inc.|FLORIDA|561-353-0660|N|Y|N|N
FANC|M|Finance 500, Inc.|FLORIDA|866-330-0338|N|Y|N|N
FARA|P|FARINA & ASSOCIATES, INC.|||Y|Y|N|N
FASI|M|Financial America Securities, Inc.|CLEVELAND, OH|216-781-1915|N|Y|N|N
FAST|M|First Allied Securities, Inc.|SAN DIEGO  CA|800-499-5497|N|Y|N|N
FASW|M|FAS Wealth Managment Services, Inc.|||N|N|N|N
FATO|P|FATOR SECURITIES LLC|||N|N|N|N
FATS|P|First Brokers Securities LLC|||Y|Y|N|N
FATX|P|FAT Securities, LLC|||N|N|N|N
FBAL|P|FIRST BROKERAGE AMERICA, L.L.C.|||N|Y|N|N
FBAY|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FBCO|M|Credit Suisse Securities (USA) LLC|NEW YORK, NY|800-752-5114|Y|Y|Y|Y
FBCO|M|Credit Suisse Securities (USA) LLC|NEW YORK, NY|212-325-3447|Y|Y|Y|Y
FBCO|M|Credit Suisse Securities (USA) LLC|NASDAQ INT'L|011-4471-322-4580|Y|Y|Y|Y
FBCO|M|Credit Suisse Securities (USA) LLC|ARBITRAGE|212-325-3583|Y|Y|Y|Y
FBCO|M|Credit Suisse Securities (USA) LLC|FOREIGN TRADING|212-325-3441|Y|Y|Y|Y
FBCO|M|Credit Suisse Securities (USA) LLC|WARRANT TRADING|212-325-3399|Y|Y|Y|Y
FBCO|M|Credit Suisse Securities (USA) LLC|PREFERRED TRADING|212-322-3288|Y|Y|Y|Y
FBCO|M|Credit Suisse Securities (USA) LLC|CONVERTIBLES|212-325-3399|Y|Y|Y|Y
FBLC|P|Freimark Blair & Company, Inc.|RAMSEY NJ|201-825-6266|N|Y|N|N
FBMO|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FBNW|N|FBN Securities, Inc.|||Y|Y|N|N
FBPC|P|Credit Suisse Securities (USA) LLC|||Y|Y|Y|Y
FBPR|P|FIRST BANK PUERTO RICO SECURITIES, CORP.|||N|Y|N|N
FBRC|M|FBR Capital Markets & Co.|ROSLYN  VA|703-312-9500|Y|Y|N|N
FBRC|M|FBR Capital Markets & Co.|NASDAQ TRADING|703-312-9550|Y|Y|N|N
FBRC|M|FBR Capital Markets & Co.|NASDAQ TRADING|800-688-FBRC|Y|Y|N|N
FBRC|M|FBR Capital Markets & Co.|NASDAQ TRADING|800-688-3272|Y|Y|N|N
FBRC|M|FBR Capital Markets & Co.|HIGH YIELD/PREFERRED|888-200-4290|Y|Y|N|N
FBRS|P|FBR Investment Services, Inc.|||N|N|N|N
FBSB|P|U.S. Bancorp Investments, Inc.|MINNEAPOLIS, MN|612-973-1122|N|Y|N|N
FBWA|M|Ferris, Baker Watts Incorporated|BALTIMORE MD|410-659-4616|N|N|N|N
FBWA|M|Ferris, Baker Watts Incorporated|NASDAQ/OTCBB TRADING|800-638-7411|N|N|N|N
FBWA|M|Ferris, Baker Watts Incorporated|PREFERRED|410-230-2230|N|N|N|N
FCAP|P|FAIRBRIDGE CAPITAL MARKETS|||N|Y|N|N
FCCP|O|First Clearing, LLC|NASDAQ AGENCY/RICH.|800-446-1016|Y|Y|N|N
FCCP|O|First Clearing, LLC|CLEARING DIVISION|804-965-2493|Y|Y|N|N
FCCU|P|Fidelity Clearing Canada ULC./ CDS|||N|N|N|N
FCFP|P|First Citizens Financial Plus, Inc.|||N|N|N|N
FCGA|N|FCG Advisors, LLC|CHATHAM, NJ|(201)635-7301|N|Y|N|N
FCGB|P|BGC FINANCIAL INC.|||N|N|N|N
FCIS|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FCML|P|FNBB Capital Markets, LLC|||N|Y|N|N
FCON|N|Financial Consultant Group, LLC|NASDAQ TRADING|201-635-0229|N|N|N|N
FCRA|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FCRT|P|OES Brokerage Services, L.L.C|||N|N|N|N
FCSC|P|FIRST CITIZENS INVESTOR SERVICES, INC.|||N|Y|N|N
FCST|P|INTL FCSTONE FINANCIAL INC.|||Y|Y|N|N
FCUG|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FDCI|N|Financial Design, Inc.|||N|N|N|N
FDDL|O|Fd De Leeuw & Associes, Trade Desk America|||N|N|N|N
FDMI|P|Freedom Investments, Inc.|NASDAQ TRADING|402-431-8500|N|Y|N|N
FDSC|P|1st Discount Brokerage, Inc.|NASDAQ TRADING|561-883-9710|Y|Y|N|N
FDSI|N|First Dallas Securities Incorporated|DALLAS, TX|214-954-1177|Y|Y|N|N
FEDE|M|Detwiler, Mitchell, Fenton & Graves, Inc.|BOSTON, MA|617-747-0192|N|Y|N|N
FEDE|M|Detwiler, Mitchell, Fenton & Graves, Inc.|BOSTON, MA|800-225-6792|N|Y|N|N
FEDR|N|FEDERATED SECURITIES, INC.|||N|Y|N|N
FENX|P|FENIX SECURITIES, LLC|||N|Y|N|N
FESI|P|First Empire Securities, Inc.|||N|Y|N|N
FFEC|N|FIRST FINANCIAL EQUITY CORPORATION|TRADING|480-951-5204|N|Y|N|N
FFLY|N|Firefly Capital, Inc.|MAIN PHONE|617-314-0705|N|N|N|N
FFLY|N|Firefly Capital, Inc.|TRADING DESK|617-933-0812|N|N|N|N
FFPS|N|FFP Securities, Inc.|CHESTERFIELD, MO|612-341-8761|N|N|N|N
FFSC|P|Avila Capital Markets, Inc.|||N|Y|N|N
FFSI|O|Firstrade Securities Inc.|FLUSHING, NY|718-961-6600|N|Y|N|N
FGCC|N|1ST GLOBAL CAPITAL CORP.|||N|Y|N|N
FGIC|N|FINANCORP GROUP INTERNATIONAL CORPORATION||212-407-0300|N|Y|N|N
FGOE|N|FIRST GEORGETOWN SECURITIES, INC.|ALEXANDRIA,VA|703-519-7700|N|Y|N|N
FGOE|N|FIRST GEORGETOWN SECURITIES, INC.|NATIONAL|800-424-2993|N|Y|N|N
